OID_,OBJECTID,NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,POPULATION,POP_SQMI,POP2010,POP10_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,NO_FARMS12,AVE_SIZE12,CROP_ACR12,AVE_SALE12,SQMI,Shape_Leng,SHAPE_Length,SHAPE_Area
1953,1953,Lewis,Idaho,16,061,16061,3817,8.000000000000000,3821,8.000000000000000,3450,14,180,17,5,128,63,92,1916,1905,238,246,213,217,159,344,345,625,600,487,254,93,47.700000000000003,47.299999999999997,48.000000000000000,1657,2.260000000000000,258,283,268,573,47,88,1041,2.840000000000000,1880,223,1170,487,216.000000000000000,1024.000000000000000,158721.000000000000000,289291.000000000000000,479.879999999999995,2.535585245650000,2.535585235021081,0.144962289736000
1954,1954,Idaho,Idaho,16,049,16049,16386,1.900000000000000,16267,1.900000000000000,15259,42,480,68,7,421,103,308,8492,7775,867,870,1004,1002,647,1421,1671,2500,2841,2068,1024,352,47.899999999999999,47.200000000000003,48.600000000000001,6834,2.300000000000000,1066,888,1169,2639,177,295,4536,2.810000000000000,8744,1910,5229,1605,731.000000000000000,874.000000000000000,209805.000000000000000,110564.000000000000000,8503.149999999999636,9.842271536569999,9.842271516603814,2.550730072200000
1955,1955,Clearwater,Idaho,16,035,16035,8710,3.500000000000000,8761,3.500000000000000,8225,18,194,61,9,268,73,181,4739,4022,373,404,466,498,331,832,960,1404,1533,1172,576,212,48.700000000000003,47.399999999999999,50.299999999999997,3660,2.230000000000000,584,490,558,1445,99,162,2397,2.710000000000000,4453,793,2808,852,256.000000000000000,284.000000000000000,28904.000000000000000,38078.000000000000000,2488.139999999999873,5.088791140440000,5.088791129231793,0.757592810894000
1956,1956,Latah,Idaho,16,057,16057,39680,36.799999999999997,37244,34.600000000000001,34557,293,237,781,52,1326,375,949,19163,18081,2128,1835,1848,3981,6628,5224,3624,4214,3904,2148,1186,524,28.500000000000000,27.699999999999999,29.399999999999999,14708,2.320000000000000,2115,2039,2737,4079,306,603,8241,2.890000000000000,15988,1280,8265,6443,1053.000000000000000,396.000000000000000,254166.000000000000000,83435.000000000000000,1076.910000000000082,2.582532553130000,2.582532550766170,0.328755600379000
1966,1966,Benewah,Idaho,16,009,16009,9396,12.000000000000000,9285,11.800000000000001,8039,28,809,27,6,235,44,332,4732,4553,602,576,616,616,408,827,1029,1438,1474,1031,505,163,44.700000000000003,44.500000000000000,45.000000000000000,3837,2.400000000000000,568,481,710,1317,134,254,2571,2.900000000000000,4629,792,2942,895,274.000000000000000,535.000000000000000,81697.000000000000000,87057.000000000000000,783.879999999999995,2.245228684470000,2.245228680814646,0.241082170185000
1967,1967,Bonner,Idaho,16,017,16017,42641,22.199999999999999,40877,21.300000000000001,39261,58,315,184,42,911,163,854,20592,20285,2142,2411,2713,2447,1674,3999,4613,6654,7215,4351,1912,746,45.700000000000003,45.200000000000003,46.299999999999997,17100,2.370000000000000,2266,2176,3110,6338,527,920,11591,2.820000000000000,24669,7569,12757,4343,686.000000000000000,118.000000000000000,26147.000000000000000,14941.000000000000000,1919.670000000000073,4.058761153980000,4.058761155481981,0.602652083566000
1968,1968,Kootenai,Idaho,16,055,16055,157914,120.000000000000000,138494,105.299999999999997,130844,416,1781,961,129,5268,1041,3322,68257,70237,8963,9466,9743,9915,8165,16742,17248,19864,18310,11464,6191,2423,38.799999999999997,37.600000000000001,40.000000000000000,54200,2.530000000000000,5755,7415,11980,17253,1790,3737,37316,2.990000000000000,63177,8977,38353,15847,824.000000000000000,151.000000000000000,64318.000000000000000,28750.000000000000000,1315.660000000000082,2.719796682010000,2.719796683272264,0.408122722186000
1969,1969,Shoshone,Idaho,16,079,16079,12316,4.700000000000000,12765,4.800000000000000,12174,26,183,47,12,380,68,255,6424,6341,620,737,786,827,511,1213,1475,1981,2078,1449,790,298,46.100000000000001,45.399999999999999,46.799999999999997,5605,2.250000000000000,884,868,877,1839,196,318,3511,2.790000000000000,7061,1456,4017,1588,36.000000000000000,0.000000000000000,791.000000000000000,3939.000000000000000,2635.550000000000182,5.144991130720000,5.144990533476788,0.812604860342000
1970,1970,Boundary,Idaho,16,021,16021,11921,9.300000000000001,10972,8.600000000000000,10398,29,189,62,6,402,58,230,5549,5423,687,742,855,744,415,1127,1198,1611,1761,1086,533,213,42.700000000000003,42.200000000000003,43.200000000000003,4421,2.470000000000000,624,590,917,1515,140,225,2976,3.000000000000000,5175,754,3393,1028,370.000000000000000,203.000000000000000,46698.000000000000000,75202.000000000000000,1277.910000000000082,2.966716409570000,2.966716408677765,0.404858608386000
1971,1971,Custer,Idaho,16,037,16037,4076,0.800000000000000,4368,0.900000000000000,4209,8,27,10,4,176,66,44,2318,2050,219,202,268,241,152,428,494,741,805,508,229,81,47.600000000000001,47.500000000000000,47.700000000000003,1936,2.250000000000000,343,241,346,732,47,69,1244,2.740000000000000,3103,1167,1471,465,272.000000000000000,525.000000000000000,44421.000000000000000,96471.000000000000000,4937.479999999999563,7.795653895820000,7.795653893369291,1.440724836540000
1972,1972,Lemhi,Idaho,16,059,16059,8065,1.800000000000000,7936,1.700000000000000,7654,18,57,30,3,181,44,130,4049,3887,425,395,445,449,287,672,761,1268,1476,1049,499,210,49.700000000000003,49.399999999999999,50.000000000000000,3576,2.200000000000000,622,512,560,1326,81,164,2267,2.740000000000000,4729,1153,2650,926,350.000000000000000,535.000000000000000,49735.000000000000000,91862.000000000000000,4569.029999999999745,8.451131636880000,8.451121522559269,1.349198498050000
1977,1977,Clark,Idaho,16,033,16033,953,0.500000000000000,982,0.600000000000000,711,7,10,5,0,398,234,15,543,439,82,93,79,72,65,123,112,131,96,81,37,11,32.899999999999999,29.899999999999999,35.500000000000000,345,2.840000000000000,46,38,99,99,12,19,243,3.410000000000000,531,186,217,128,72.000000000000000,2101.000000000000000,52456.000000000000000,488791.000000000000000,1765.099999999999909,4.232835054740000,4.232835050041351,0.515406205954000
1978,1978,Fremont,Idaho,16,043,16043,12945,6.800000000000000,13242,7.000000000000000,11855,46,93,29,13,1694,1007,199,6963,6279,1166,1149,1096,1078,687,1679,1442,1670,1431,1040,637,167,33.600000000000001,33.299999999999997,34.000000000000000,4436,2.880000000000000,461,415,1371,1554,116,214,3436,3.320000000000000,8531,4095,3585,851,601.000000000000000,526.000000000000000,207777.000000000000000,263941.000000000000000,1895.690000000000055,4.219030518670000,4.219030099291439,0.553030385621000
1979,1979,Jefferson,Idaho,16,051,16051,27909,25.199999999999999,26140,23.600000000000001,23844,52,203,103,23,2641,1514,401,13114,13026,2818,2628,2450,2070,1374,3621,3046,3207,2422,1476,777,251,30.000000000000000,30.000000000000000,29.899999999999999,8146,3.200000000000000,567,658,3204,2544,223,429,6698,3.570000000000000,8722,576,6774,1372,776.000000000000000,416.000000000000000,191074.000000000000000,331387.000000000000000,1105.730000000000018,3.045763076040000,3.045763070152213,0.320390811522000
